series_type,date,ron95,ron97,diesel,diesel_eastmsia
level,2021/12/16,2.05,3,2.15,2.15
level,2021/12/23,2.05,2.99,2.15,2.15
level,2021/12/30,2.05,3,2.15,2.15
level,2022/1/6,2.05,3.03,2.15,2.15
level,2022/1/13,2.05,3.07,2.15,2.15
level,2022/1/20,2.05,3.07,2.15,2.15
level,2022/1/27,2.05,3.12,2.15,2.15
level,2022/2/3,2.05,3.12,2.15,2.15
level,2022/2/10,2.05,3.21,2.15,2.15
level,2022/2/17,2.05,3.27,2.15,2.15
level,2022/2/24,2.05,3.29,2.15,2.15
level,2022/3/3,2.05,3.45,2.15,2.15
level,2022/3/10,2.05,3.75,2.15,2.15
level,2022/3/17,2.05,4,2.15,2.15
level,2022/3/24,2.05,3.83,2.15,2.15
level,2022/3/31,2.05,3.91,2.15,2.15
level,2022/4/7,2.05,3.81,2.15,2.15
level,2022/4/14,2.05,3.81,2.15,2.15
level,2022/4/21,2.05,3.81,2.15,2.15
level,2022/4/28,2.05,3.94,2.15,2.15
level,2022/5/5,2.05,3.94,2.15,2.15
level,2022/5/12,2.05,4.31,2.15,2.15
level,2022/5/19,2.05,4.33,2.15,2.15
level,2022/5/26,2.05,4.7,2.15,2.15
level,2022/6/2,2.05,4.7,2.15,2.15
level,2022/6/9,2.05,4.72,2.15,2.15
level,2022/6/16,2.05,4.83,2.15,2.15
level,2022/6/23,2.05,4.84,2.15,2.15
level,2022/6/30,2.05,4.84,2.15,2.15
level,2022/7/7,2.05,4.8,2.15,2.15
level,2022/7/14,2.05,4.75,2.15,2.15
level,2022/7/21,2.05,4.65,2.15,2.15
level,2022/7/28,2.05,4.55,2.15,2.15
level,2022/8/4,2.05,4.5,2.15,2.15
level,2022/8/11,2.05,4.4,2.15,2.15
level,2022/8/18,2.05,4.35,2.15,2.15
level,2022/8/25,2.05,4.3,2.15,2.15
level,2022/9/1,2.05,4.3,2.15,2.15
level,2022/9/8,2.05,4.2,2.15,2.15
level,2022/9/14,2.05,4.15,2.15,2.15
level,2022/9/22,2.05,4.05,2.15,2.15
level,2022/9/29,2.05,4,2.15,2.15
level,2022/10/6,2.05,3.95,2.15,2.15
level,2022/10/13,2.05,3.95,2.15,2.15
level,2022/10/20,2.05,3.95,2.15,2.15
level,2022/10/27,2.05,3.95,2.15,2.15
level,2022/11/3,2.05,3.95,2.15,2.15
level,2022/11/10,2.05,3.95,2.15,2.15
level,2022/11/17,2.05,3.95,2.15,2.15
level,2022/11/24,2.05,3.95,2.15,2.15
level,2022/12/1,2.05,3.85,2.15,2.15
level,2022/12/8,2.05,3.75,2.15,2.15
level,2022/12/15,2.05,3.55,2.15,2.15
level,2022/12/22,2.05,3.35,2.15,2.15
level,2022/12/29,2.05,3.35,2.15,2.15
level,2023/1/5,2.05,3.35,2.15,2.15
level,2023/1/12,2.05,3.35,2.15,2.15
level,2023/1/19,2.05,3.35,2.15,2.15
level,2023/1/26,2.05,3.35,2.15,2.15
level,2023/2/2,2.05,3.35,2.15,2.15
level,2023/2/9,2.05,3.35,2.15,2.15
level,2023/2/16,2.05,3.35,2.15,2.15
level,2023/2/23,2.05,3.35,2.15,2.15
level,2023/3/2,2.05,3.35,2.15,2.15
level,2023/3/9,2.05,3.35,2.15,2.15
level,2023/3/16,2.05,3.35,2.15,2.15
level,2023/3/23,2.05,3.35,2.15,2.15
level,2023/3/30,2.05,3.35,2.15,2.15
level,2023/4/6,2.05,3.35,2.15,2.15
level,2023/4/13,2.05,3.35,2.15,2.15
level,2023/4/20,2.05,3.35,2.15,2.15
level,2023/4/27,2.05,3.35,2.15,2.15
level,2023/5/4,2.05,3.35,2.15,2.15
level,2023/5/11,2.05,3.35,2.15,2.15
level,2023/5/18,2.05,3.35,2.15,2.15
level,2023/5/25,2.05,3.35,2.15,2.15
level,2023/6/1,2.05,3.37,2.15,2.15
level,2023/6/8,2.05,3.37,2.15,2.15
level,2023/6/15,2.05,3.37,2.15,2.15
level,2023/6/22,2.05,3.37,2.15,2.15
level,2023/6/29,2.05,3.37,2.15,2.15
level,2023/7/6,2.05,3.37,2.15,2.15
level,2023/7/13,2.05,3.37,2.15,2.15
level,2023/7/20,2.05,3.37,2.15,2.15
level,2023/7/27,2.05,3.37,2.15,2.15
level,2023/8/3,2.05,3.37,2.15,2.15
level,2023/8/10,2.05,3.37,2.15,2.15
level,2023/8/17,2.05,3.37,2.15,2.15
level,2023/8/24,2.05,3.37,2.15,2.15
level,2023/8/31,2.05,3.37,2.15,2.15
level,2023/9/7,2.05,3.37,2.15,2.15
level,2023/9/14,2.05,3.37,2.15,2.15
level,2023/9/21,2.05,3.37,2.15,2.15
level,2023/9/28,2.05,3.37,2.15,2.15
level,2023/10/5,2.05,3.37,2.15,2.15
level,2023/10/12,2.05,3.37,2.15,2.15
level,2023/10/19,2.05,3.47,2.15,2.15
level,2023/10/26,2.05,3.47,2.15,2.15
level,2023/11/2,2.05,3.47,2.15,2.15
level,2023/11/9,2.05,3.47,2.15,2.15
level,2023/11/16,2.05,3.47,2.15,2.15
level,2023/11/23,2.05,3.47,2.15,2.15
level,2023/11/30,2.05,3.47,2.15,2.15
level,2023/12/7,2.05,3.47,2.15,2.15
level,2023/12/14,2.05,3.47,2.15,2.15
level,2023/12/21,2.05,3.47,2.15,2.15
level,2023/12/28,2.05,3.47,2.15,2.15
level,2024/1/4,2.05,3.47,2.15,2.15
level,2024/1/11,2.05,3.47,2.15,2.15
level,2024/1/18,2.05,3.47,2.15,2.15
level,2024/1/25,2.05,3.47,2.15,2.15
level,2024/2/1,2.05,3.47,2.15,2.15
level,2024/2/8,2.05,3.47,2.15,2.15
level,2024/2/15,2.05,3.47,2.15,2.15
level,2024/2/22,2.05,3.47,2.15,2.15
level,2024/2/29,2.05,3.47,2.15,2.15
level,2024/3/7,2.05,3.47,2.15,2.15
level,2024/3/14,2.05,3.47,2.15,2.15
level,2024/3/21,2.05,3.47,2.15,2.15
level,2024/3/28,2.05,3.47,2.15,2.15
level,2024/4/4,2.05,3.47,2.15,2.15
level,2024/4/11,2.05,3.47,2.15,2.15
level,2024/4/18,2.05,3.47,2.15,2.15
level,2024/4/25,2.05,3.47,2.15,2.15
level,2024/5/2,2.05,3.47,2.15,2.15
level,2024/5/9,2.05,3.47,2.15,2.15
level,2024/5/16,2.05,3.47,2.15,2.15
